type_of_product,product,price_sar,unit_of_measurement,total_quantity
H5-Hardwood floor cleaner,Floor cleaner,27.0,mL,739.0
H5-Hardwood floor cleaner,Floor cleaner,61.54,mL,946.0
H4-Tile and grout cleaner,"Toilet, shower and tile cleaner",60.0,mL,947.0
H5-Hardwood floor cleaner,Floor cleaner,83.0,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,85.0,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,30.0,mL,900.0
H5-Hardwood floor cleaner,Floor cleaner,25.0,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,50.0,mL,1000.0
H5-Hardwood floor cleaner,Floor cleaner,180.0,mL,2000.0
H5-Hardwood floor cleaner,Floor cleaner,140.0,mL,3785.0
H5-Hardwood floor cleaner,Floor cleaner,140.0,mL,947.0
H5-Hardwood floor cleaner,Floor cleaner,65.0,mL,1000.0
H5-Hardwood floor cleaner,Floor cleaner,110.0,mL,5000.0
H5-Hardwood floor cleaner,Floor cleaner,30.0,mL,1500.0
H5-Hardwood floor cleaner,Floor cleaner,29.0,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,51.0,mL,1800.0
H5-Hardwood floor cleaner,Floor cleaner,27.75,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,25.62,mL,946.0
H5-Hardwood floor cleaner,Floor cleaner,51.75,mL,740.0
H5-Tile and laminate cleaner,Floor cleaner,145.0,mL,946.0
H5-Hardwood floor cleaner,Floor cleaner,5.75,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,5.75,mL,2000.0
H5-Hardwood floor cleaner,Floor cleaner,11.5,mL,900.0
H5-Tile and laminate cleaner,Floor cleaner,11.5,mL,750.0
H5-Tile and laminate cleaner,Floor cleaner,5.75,mL,225.0
H4-Mold and mildew remover,Disinfectant and cleaner,5.75,mL,750.0
H5-Hardwood floor cleaner,Floor cleaner,5.75,mL,3000.0
H5-Hardwood floor cleaner,Floor cleaner,18.0,mL,1500.0
H5-Hardwood floor cleaner,Floor cleaner,19.0,mL,900.0
H5-Hardwood floor cleaner,Floor cleaner,23.0,mL,900.0
H5-Hardwood floor cleaner,Floor cleaner,85.0,mL,1035.0
H5-Hardwood floor cleaner,Floor cleaner,37.0,mL,1500.0
H6-Wood polish for furniture,Furniture polish,45.0,mL,354.0
H6-Wood polish for furniture,Furniture polish,56.0,mL,355.0
H6-Leather cleaner,Leather and vinyl cleaner,111.0,mL,221.0
H6-Leather cleaner,Leather and vinyl cleaner,52.0,mL,473.0
H6-Leather cleaner,Leather and vinyl cleaner,179.0,mL,450.0
H6-Leather cleaner,Leather and vinyl cleaner,90.0,mL,118.0
H6-Leather cleaner,Leather and vinyl cleaner,75.0,mL,236.0
H6-Leather cleaner,Leather and vinyl cleaner,209.0,mL,177.0
H6-Leather cleaner,Leather and vinyl cleaner,99.0,mL,236.0
H6-Leather cleaner,Leather and vinyl cleaner,379.0,mL,3785.0
H6-Leather cleaner,Leather and vinyl cleaner,179.0,mL,510.0
H6-Leather cleaner,Leather and vinyl cleaner,22.0,mL,236.0
H6-Wood polish for furniture,Furniture polish,47.0,mL,473.0
H6-Wood polish for furniture,Furniture polish,42.0,mL,650.0
H6-Wood polish for furniture,Furniture polish,5.75,mL,500.0
H6-Wood polish for furniture,Furniture polish,5.75,mL,300.0
H6-Wood polish for furniture,Furniture polish,46.0,mL,372.0
H6-Wood polish for furniture,Furniture polish,50.0,mL,384.0
H6-Wood polish for furniture,Furniture polish,45.0,mL,354.0
H6-Wood polish for furniture,Furniture polish,41.0,mL,650.0
H7-Carpet shampoo,Carpet shampoo,90.0,mL,1892.0
H7-Carpet shampoo,Carpet shampoo,60.0,mL,1000.0
H7-Carpet shampoo,Carpet shampoo,5.75,mL,1000.0
H7-Carpet shampoo,Carpet shampoo,50.0,mL,650.0
H7-Carpet shampoo,Carpet shampoo,145.0,mL,5000.0
H7-Carpet shampoo,Carpet shampoo,199.0,mL,4000.0
H7-Carpet shampoo,Carpet shampoo,117.0,mL,1000.0
