External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
,FP-AVI-00801,WAYAKIT GreenTech Aviation Lavatory disinfectant [4 L],Lavatory disinfectant,4 L,4,0,A4-Lavatory disinfectant,Aviation - 4. Aicraft restroom maintenance products,Disinfectant and cleaner,Aviation,Transportation,4,4.84,5.32,0,0,1,,,15.16
,FP-AVI-00802,WAYAKIT GreenTech Aviation Lavatory disinfectant [20 L],Lavatory disinfectant,20 L,20,0,A4-Lavatory disinfectant,Aviation - 4. Aicraft restroom maintenance products,Disinfectant and cleaner,Aviation,Transportation,8,4.84,26.6,0,0,1,,,40.44
,FP-AVI-00803,WAYAKIT GreenTech Aviation Lavatory disinfectant [Box of 12 units 700 mL],Lavatory disinfectant,Box of 12 units 700 mL,8.4,0,A4-Lavatory disinfectant,Aviation - 4. Aicraft restroom maintenance products,Disinfectant and cleaner,Aviation,Transportation,18,14.52,11.172,0,0,12,,,55.692
,FP-AVI-00900,WAYAKIT GreenTech Aviation Toilet and urinal cleaner [700 mL],Toilet and urinal cleaner,700 mL,0.7,0,A4-Toilet and urinal cleaner,Aviation - 4. Aicraft restroom maintenance products,"Toilet, shower and tile cleaner",Aviation,Transportation,1.5,1.21,2.317,0,0,1,,,6.027
,FP-AVI-00901,WAYAKIT GreenTech Aviation Toilet and urinal cleaner [4 L],Toilet and urinal cleaner,4 L,4,0,A4-Toilet and urinal cleaner,Aviation - 4. Aicraft restroom maintenance products,"Toilet, shower and tile cleaner",Aviation,Transportation,4,4.84,13.24,0,0,1,,,23.08
,FP-AVI-00902,WAYAKIT GreenTech Aviation Toilet and urinal cleaner [20 L],Toilet and urinal cleaner,20 L,20,0,A4-Toilet and urinal cleaner,Aviation - 4. Aicraft restroom maintenance products,"Toilet, shower and tile cleaner",Aviation,Transportation,8,4.84,66.2,0,0,1,,,80.04
,FP-AVI-00903,WAYAKIT GreenTech Aviation Toilet and urinal cleaner [Box of 12 units 700 mL],Toilet and urinal cleaner,Box of 12 units 700 mL,8.4,0,A4-Toilet and urinal cleaner,Aviation - 4. Aicraft restroom maintenance products,"Toilet, shower and tile cleaner",Aviation,Transportation,18,14.52,27.804,0,0,12,,,72.324
,FP-AVI-01000,WAYAKIT GreenTech Aviation Odor urinal neutralizer [700 mL],Odor urinal neutralizer,700 mL,0.7,0,A4-Odor urinal neutralizer,Aviation - 4. Aicraft restroom maintenance products,Odor eliminator,Aviation,Transportation,1.5,1.21,2.954,0,0,1,,,6.664
,FP-AVI-01001,WAYAKIT GreenTech Aviation Odor urinal neutralizer [4 L],Odor urinal neutralizer,4 L,4,0,A4-Odor urinal neutralizer,Aviation - 4. Aicraft restroom maintenance products,Odor eliminator,Aviation,Transportation,4,4.84,16.88,0,0,1,,,26.72
,FP-AVI-01002,WAYAKIT GreenTech Aviation Odor urinal neutralizer [20 L],Odor urinal neutralizer,20 L,20,0,A4-Odor urinal neutralizer,Aviation - 4. Aicraft restroom maintenance products,Odor eliminator,Aviation,Transportation,8,4.84,84.4,0,0,1,,,98.24
,FP-AVI-01003,WAYAKIT GreenTech Aviation Odor urinal neutralizer [Box of 12 units 700 mL],Odor urinal neutralizer,Box of 12 units 700 mL,8.4,0,A4-Odor urinal neutralizer,Aviation - 4. Aicraft restroom maintenance products,Odor eliminator,Aviation,Transportation,18,14.52,35.448,0,0,12,,,79.968
,FP-AVI-01100,WAYAKIT GreenTech Aviation Aircraft air freshener [700 mL],Aircraft air freshener,700 mL,0.7,0,A4-Aircraft air freshener,Aviation - 4. Aicraft restroom maintenance products,Air freshener,Aviation,Transportation,1.5,1.21,1.708,0,0,1,,,5.418
,FP-AVI-01101,WAYAKIT GreenTech Aviation Aircraft air freshener [4 L],Aircraft air freshener,4 L,4,0,A4-Aircraft air freshener,Aviation - 4. Aicraft restroom maintenance products,Air freshener,Aviation,Transportation,4,4.84,9.76,0,0,1,,,19.6
,FP-AVI-01102,WAYAKIT GreenTech Aviation Aircraft air freshener [20 L],Aircraft air freshener,20 L,20,0,A4-Aircraft air freshener,Aviation - 4. Aicraft restroom maintenance products,Air freshener,Aviation,Transportation,8,4.84,48.8,0,0,1,,,62.64
,FP-AVI-01103,WAYAKIT GreenTech Aviation Aircraft air freshener [Box of 12 units 700 mL],Aircraft air freshener,Box of 12 units 700 mL,8.4,0,A4-Aircraft air freshener,Aviation - 4. Aicraft restroom maintenance products,Air freshener,Aviation,Transportation,18,14.52,20.496,0,0,12,,,65.016
,FP-AVI-01200,WAYAKIT GreenTech Aviation Food-safe surface cleaner [700 mL],Food-safe surface cleaner,700 mL,0.7,0,A5-Food-safe surface cleaner,Aviation - 5. Aicraft galley cleaning supplies,Disinfectant and cleaner,Aviation,Transportation,1.5,1.21,0.931,0,0,1,,,4.641
,FP-AVI-01201,WAYAKIT GreenTech Aviation Food-safe surface cleaner [4 L],Food-safe surface cleaner,4 L,4,0,A5-Food-safe surface cleaner,Aviation - 5. Aicraft galley cleaning supplies,Disinfectant and cleaner,Aviation,Transportation,4,4.84,5.32,0,0,1,,,15.16
,FP-AVI-01202,WAYAKIT GreenTech Aviation Food-safe surface cleaner [20 L],Food-safe surface cleaner,20 L,20,0,A5-Food-safe surface cleaner,Aviation - 5. Aicraft galley cleaning supplies,Disinfectant and cleaner,Aviation,Transportation,8,4.84,26.6,0,0,1,,,40.44
,FP-AVI-01203,WAYAKIT GreenTech Aviation Food-safe surface cleaner [Box of 12 units 700 mL],Food-safe surface cleaner,Box of 12 units 700 mL,8.4,0,A5-Food-safe surface cleaner,Aviation - 5. Aicraft galley cleaning supplies,Disinfectant and cleaner,Aviation,Transportation,18,14.52,11.172,0,0,12,,,55.692
,FP-AVI-01300,WAYAKIT GreenTech Aviation Stainless steel polisher [700 mL],Stainless steel polisher,700 mL,0.7,0,A5-Stainless steel polisher,Aviation - 5. Aicraft galley cleaning supplies,Stainless steel cleaner,Aviation,Transportation,1.5,1.21,0.92785,0,0,1,,,4.63785
,FP-AVI-01301,WAYAKIT GreenTech Aviation Stainless steel polisher [4 L],Stainless steel polisher,4 L,4,0,A5-Stainless steel polisher,Aviation - 5. Aicraft galley cleaning supplies,Stainless steel cleaner,Aviation,Transportation,4,4.84,5.302,0,0,1,,,15.142
,FP-AVI-01302,WAYAKIT GreenTech Aviation Stainless steel polisher [20 L],Stainless steel polisher,20 L,20,0,A5-Stainless steel polisher,Aviation - 5. Aicraft galley cleaning supplies,Stainless steel cleaner,Aviation,Transportation,8,4.84,26.51,0,0,1,,,40.35
,FP-AVI-01303,WAYAKIT GreenTech Aviation Stainless steel polisher [Box of 12 units 700 mL],Stainless steel polisher,Box of 12 units 700 mL,8.4,0,A5-Stainless steel polisher,Aviation - 5. Aicraft galley cleaning supplies,Stainless steel cleaner,Aviation,Transportation,18,14.52,11.1342,0,0,12,,,55.6542
,FP-AVI-01400,WAYAKIT GreenTech Aviation Non-slip floor cleaner [700 mL],Non-slip floor cleaner,700 mL,0.7,0,A6-Non-slip floor cleaner,Aviation - 6. Aircraft floor care products,Floor cleaner,Aviation,Transportation,1.5,1.21,7.77945,0,0,1,,,11.48945
,FP-AVI-01401,WAYAKIT GreenTech Aviation Non-slip floor cleaner [4 L],Non-slip floor cleaner,4 L,4,0,A6-Non-slip floor cleaner,Aviation - 6. Aircraft floor care products,Floor cleaner,Aviation,Transportation,4,4.84,44.454,0,0,1,,,54.294
,FP-AVI-01402,WAYAKIT GreenTech Aviation Non-slip floor cleaner [20 L],Non-slip floor cleaner,20 L,20,0,A6-Non-slip floor cleaner,Aviation - 6. Aircraft floor care products,Floor cleaner,Aviation,Transportation,8,4.84,222.27,0,0,1,,,236.11
,FP-AVI-01403,WAYAKIT GreenTech Aviation Non-slip floor cleaner [Box of 12 units 700 mL],Non-slip floor cleaner,Box of 12 units 700 mL,8.4,0,A6-Non-slip floor cleaner,Aviation - 6. Aircraft floor care products,Floor cleaner,Aviation,Transportation,18,14.52,93.3534,0,0,12,,,137.8734
