External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_515,FP-FMN-01501,WAYAKIT GreenTech Facilities Management shower and tile cleaner [4 L],shower and tile cleaner,4 L,4.0,0.0,F4-FM shower and tile cleaner,Facilities management - 4. Restroom maintenance products,"Toilet, shower and tile cleaner",Facilities management,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_516,FP-FMN-01502,WAYAKIT GreenTech Facilities Management shower and tile cleaner [20 L],shower and tile cleaner,20 L,20.0,0.0,F4-FM shower and tile cleaner,Facilities management - 4. Restroom maintenance products,"Toilet, shower and tile cleaner",Facilities management,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_517,FP-FMN-01503,WAYAKIT GreenTech Facilities Management shower and tile cleaner [Box of 12 units 700 mL],shower and tile cleaner,Box of 12 units 700 mL,8.4,0.0,F4-FM shower and tile cleaner,Facilities management - 4. Restroom maintenance products,"Toilet, shower and tile cleaner",Facilities management,Facilities management,18,14.52,11.172,0,0,12,,,55.692
product_template_518,FP-FMN-01600,WAYAKIT GreenTech Facilities Management streak-free glass cleaner for large window areas [700 mL],streak-free glass cleaner for large window areas,700 mL,0.7,0.0,F5-FM streak-free glass cleaner for large window areas,Facilities management - 5. Glass and window cleaners,Glass cleaner,Facilities management,Facilities management,1.5,1.21,1.197,0,0,1,,,4.907
product_template_519,FP-FMN-01601,WAYAKIT GreenTech Facilities Management streak-free glass cleaner for large window areas [4 L],streak-free glass cleaner for large window areas,4 L,4.0,0.0,F5-FM streak-free glass cleaner for large window areas,Facilities management - 5. Glass and window cleaners,Glass cleaner,Facilities management,Facilities management,4,4.84,6.84,0,0,1,,,16.68
product_template_520,FP-FMN-01602,WAYAKIT GreenTech Facilities Management streak-free glass cleaner for large window areas [20 L],streak-free glass cleaner for large window areas,20 L,20.0,0.0,F5-FM streak-free glass cleaner for large window areas,Facilities management - 5. Glass and window cleaners,Glass cleaner,Facilities management,Facilities management,8,4.84,34.2,0,0,1,,,48.04
product_template_521,FP-FMN-01603,WAYAKIT GreenTech Facilities Management streak-free glass cleaner for large window areas [Box of 12 units 700 mL],streak-free glass cleaner for large window areas,Box of 12 units 700 mL,8.4,0.0,F5-FM streak-free glass cleaner for large window areas,Facilities management - 5. Glass and window cleaners,Glass cleaner,Facilities management,Facilities management,18,14.52,14.364,0,0,12,,,58.884
product_template_522,FP-FMN-01700,WAYAKIT GreenTech Facilities Management degreaser for food service areas [700 mL],degreaser for food service areas,700 mL,0.7,0.0,F6-FM degreaser for food service areas,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
product_template_523,FP-FMN-01701,WAYAKIT GreenTech Facilities Management degreaser for food service areas [4 L],degreaser for food service areas,4 L,4.0,0.0,F6-FM degreaser for food service areas,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,4,4.84,4.13,0,0,1,,,13.97
product_template_524,FP-FMN-01702,WAYAKIT GreenTech Facilities Management degreaser for food service areas [20 L],degreaser for food service areas,20 L,20.0,0.0,F6-FM degreaser for food service areas,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,8,4.84,20.65,0,0,1,,,34.49
