Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
15/07/2025,VoltBox,B2B,FP-SPO-02102,,WAYAKIT GreenTech Sports Extreme odor neutralizer and cleaner [20 L],Odor eliminator,Gyms,Facilities management,20.0, SAR 98.24 , SAR 985.89 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 985.89 SAR, B2C: 0.1437 SAR/ml = 2874.19 SAR. Price viable with 903.6% profit margin",3,1.0,887.3, SAR 887.30 , SAR 789.06 ,89%, SAR 44.37 , 20.0 , SAR 789.06 , SAR (98.59),-10%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
15/07/2025,VoltBox,B2B,FP-SPO-02103,,WAYAKIT GreenTech Sports Extreme odor neutralizer and cleaner [Box of 12 units 700 mL],Odor eliminator,Gyms,Facilities management,8.4, SAR 79.97 , SAR 414.07 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 414.07 SAR, B2C: 0.1437 SAR/ml = 1207.16 SAR. Price viable with 417.8% profit margin",3,1.0,405.79, SAR 405.79 , SAR 325.82 ,80%, SAR 48.31 , 8.4 , SAR 325.82 , SAR (8.29),-2%,Well prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-00901,,WAYAKIT GreenTech Food Services Non-slip floor cleaner for safety [4 L],Floor cleaner,Restaurants,Horeca,4.0, SAR 13.97 , SAR 83.20 , SAR 0.021 ,"Price based on median generic product type - B2B: 0.0208 SAR/ml = 83.20 SAR, B2C: 0.0409 SAR/ml = 163.49 SAR. Price viable with 53.2% profit margin",3,88.0,72.72," SAR 6,399.36 ", SAR 58.75 ,81%, SAR 18.18 , 352.0 ," SAR 5,170.00 ", SAR (10.48),-13%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-01801,,WAYAKIT GreenTech Food Services Manual dishwashing soap [4 L],Dishwashing soap,Restaurants,Horeca,4.0, SAR 47.56 , SAR 61.83 , SAR 0.015 ,Price based on direct competition - Low predicted price. Using minimum viable price with 30% profit margin.,1,76.0,60.0," SAR 4,560.00 ", SAR 12.44 ,21%, SAR 15.00 , 304.0 , SAR 945.44 , SAR (1.83),-3%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.01608806096528371,Well prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-01901,,WAYAKIT GreenTech Food Services Heavy-duty toilet and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Restaurants,Horeca,4.0, SAR 23.08 , SAR 94.79 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 94.79 SAR, B2C: 0.0317 SAR/ml = 126.70 SAR. Price viable with 310.7% profit margin",3,4.0,34.0, SAR 136.00 , SAR 10.92 ,32%, SAR 8.50 , 16.0 , SAR 43.68 , SAR (60.79),-64%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-00601,,WAYAKIT GreenTech Food Services Glass cleaner [4 L],Glass cleaner,Restaurants,Horeca,4.0, SAR 16.68 , SAR 35.36 , SAR 0.009 ,Price based on direct competition - Price viable with 112.0% profit margin,1,4.0,24.48, SAR 97.92 , SAR 7.80 ,32%, SAR 6.12 , 16.0 , SAR 31.20 , SAR (10.88),-31%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.5854360711261641,Wrong prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-00101,,WAYAKIT GreenTech Food Services Food-grade sanitizer for countertops and prep areas [4 L],Disinfectant and cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 60.52 , SAR 0.015 ,Price based on direct competition - Price viable with 299.2% profit margin,1,4.0,60.8, SAR 243.20 , SAR 45.64 ,75%, SAR 15.20 , 16.0 , SAR 182.56 , SAR 0.28 ,0%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.02963590177815411,Well prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-00801,,WAYAKIT GreenTech Food Services Oven and fryer cleaner [4 L],Degreaser,Restaurants,Horeca,4.0, SAR 13.97 , SAR 44.55 , SAR 0.011 ,Price based on direct competition - Price viable with 218.9% profit margin,1,12.0,48.0, SAR 576.00 , SAR 34.03 ,71%, SAR 12.00 , 48.0 , SAR 408.36 , SAR 3.45 ,8%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.18712955122777303,Wrong prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-00401,,WAYAKIT GreenTech Food Services General sanitizer for vegetable and salad washing [4 L],Disinfectant and cleaner,Restaurants,Horeca,4.0, SAR 15.16 , SAR 117.30 , SAR 0.029 ,Price based on direct competition - Price viable with 673.7% profit margin,1,1.0,60.8, SAR 60.80 , SAR 45.64 ,75%, SAR 15.20 , 4.0 , SAR 45.64 , SAR (56.50),-48%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,0.02963590177815411,Well prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-02101,,WAYAKIT GreenTech Food Services Hand soap [4 L],Hand soap,Restaurants,Horeca,4.0, SAR 14.64 , SAR 42.50 , SAR 0.011 ,Price based on direct competition - Price viable with 190.3% profit margin,1,5.0,34.0, SAR 170.00 , SAR 19.36 ,57%, SAR 8.50 , 20.0 , SAR 96.80 , SAR (8.50),-20%,Wrong prediction,Pending,,,,,  ,  ,,  ,,59.05,-0.4242167654530059,Wrong prediction
