Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
5/20/2024,White Space,B2B,FP-FMN-02203,S00476,WAYAKIT GreenTech Facilities Management Odor eliminator [Box of 12 units 700 mL],Odor eliminator,Facilities management,Facilities management,8.4, SAR 79.97 , SAR 414.07 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 414.07 SAR, B2C: 0.1437 SAR/ml = 1207.16 SAR. Price viable with 417.8% profit margin",3,3.0,448.44," SAR 1,345.32 ", SAR 368.47 ,82%, SAR 53.39 , 25.2 ," SAR 1,105.42 ", SAR 34.37 ,8%,Well prediction,Yes,Yes,5/20/2024,3.0, SAR 448.44 ," SAR 1,345.32 ", SAR 368.47 ,82%, SAR 34.37 ,8%,428.53,0.04646115791193155,Well prediction
5/20/2024,White Space,B2B,FP-FMN-01203,S00476,WAYAKIT GreenTech Facilities Management Heavy-duty toilet and urinal cleaner [Box of 12 units 700 mL],"Toilet, shower and tile cleaner",Facilities management,Facilities management,8.4, SAR 72.32 , SAR 137.63 , SAR 0.016 ,Price based on direct competition - Price viable with 90.3% profit margin,1,4.0,547.8," SAR 2,191.20 ", SAR 475.48 ,87%, SAR 65.21 , 33.6 ," SAR 1,901.90 ", SAR 410.17 ,298%,Wrong prediction,Yes,Yes,5/20/2024,4.0, SAR 547.80 ," SAR 2,191.20 ", SAR 475.48 ,87%, SAR 410.17 ,298%,454.69,0.20477688095185723,Well prediction
5/14/2024,White Space,B2B,FP-FMN-02103,S00472,WAYAKIT GreenTech Facilities Management Air freshener [Box of 12 units 700 mL],Air freshener,Facilities management,Facilities management,8.4, SAR 65.02 , SAR 308.00 , SAR 0.037 ,Price based on direct competition - Price viable with 373.7% profit margin,1,5.0,438.24," SAR 2,191.20 ", SAR 373.22 ,85%, SAR 52.17 , 42.0 ," SAR 1,866.12 ", SAR 130.24 ,42%,Well prediction,Yes,Yes,5/14/2024,5.0, SAR 438.24 ," SAR 2,191.20 ", SAR 373.22 ,85%, SAR 130.24 ,42%,586.67,-0.2530042442940664,Wrong prediction
5/14/2024,White Space,B2B,FP-FMN-00203,S00472,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [Box of 12 units 700 mL],Furniture polish,Facilities management,Facilities management,8.4, SAR 137.87 , SAR 290.29 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,2.0,108.0, SAR 216.00 , SAR (29.87),-28%, SAR 12.86 , 16.8 , SAR (59.75), SAR (182.29),-63%,Wrong prediction,Yes,Yes,5/14/2024,2.0, SAR 108.00 , SAR 216.00 , SAR (29.87),-28%, SAR (182.29),-63%,132.74,-0.18637938827783643,Wrong prediction
5/14/2024,White Space,B2B,FP-FMN-01001,S00472,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,2.0,43.47, SAR 86.94 , SAR 28.31 ,65%, SAR 10.87 , 8.0 , SAR 56.62 , SAR (11.73),-21%,Wrong prediction,Yes,Yes,5/14/2024,2.0, SAR 43.47 , SAR 86.94 , SAR 28.31 ,65%, SAR (11.73),-21%,57.42,-0.2429467084639499,Wrong prediction
5/14/2024,White Space,B2B,FP-FMN-01003,S00472,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [Box of 12 units 700 mL],Disinfectant and cleaner,Facilities management,Facilities management,8.4, SAR 55.69 , SAR 115.92 , SAR 0.014 ,Price based on direct competition - Price viable with 108.1% profit margin,1,1.0,146.04, SAR 146.04 , SAR 90.35 ,62%, SAR 17.39 , 8.4 , SAR 90.35 , SAR 30.12 ,26%,Well prediction,Yes,Yes,5/14/2024,1.0, SAR 146.04 , SAR 146.04 , SAR 90.35 ,62%, SAR 30.12 ,26%,312.02,-0.5319530799307737,Wrong prediction
5/14/2024,White Space,B2B,FP-FMN-01603,S00472,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [Box of 12 units 700 mL],Glass cleaner,Facilities management,Facilities management,8.4, SAR 58.88 , SAR 144.48 , SAR 0.017 ,Price based on direct competition - Price viable with 145.4% profit margin,1,2.0,117.6, SAR 235.20 , SAR 58.72 ,50%, SAR 14.00 , 16.8 , SAR 117.43 , SAR (26.88),-19%,Wrong prediction,Yes,Yes,5/14/2024,2.0, SAR 117.60 , SAR 235.20 , SAR 58.72 ,50%, SAR (26.88),-19%,119.28,-0.014084507042253579,Well prediction
5/14/2024,White Space,B2B,FP-FMN-00601,S00472,WAYAKIT GreenTech Facilities Management High performance carpet shampoo [4 L],Carpet shampoo,Facilities management,Facilities management,4.0, SAR 37.63 , SAR 133.68 , SAR 0.033 ,Price based on direct competition - Price viable with 255.2% profit margin,1,12.0,63.13, SAR 757.56 , SAR 25.50 ,40%, SAR 15.78 , 48.0 , SAR 305.98 , SAR (70.55),-53%,Wrong prediction,Yes,Yes,5/14/2024,12.0, SAR 63.13 , SAR 757.56 , SAR 25.50 ,40%, SAR (70.55),-53%,63.14,-0.00015837820715866344,Well prediction
5/14/2024,White Space,B2B,FP-FMN-02203,S00472,WAYAKIT GreenTech Facilities Management Odor eliminator [Box of 12 units 700 mL],Odor eliminator,Facilities management,Facilities management,8.4, SAR 79.97 , SAR 414.07 , SAR 0.049 ,"Price based on median generic product type - B2B: 0.0493 SAR/ml = 414.07 SAR, B2C: 0.1437 SAR/ml = 1207.16 SAR. Price viable with 417.8% profit margin",3,3.0,448.44," SAR 1,345.32 ", SAR 368.47 ,82%, SAR 53.39 , 25.2 ," SAR 1,105.42 ", SAR 34.37 ,8%,Well prediction,Yes,Yes,5/14/2024,3.0, SAR 448.44 ," SAR 1,345.32 ", SAR 368.47 ,82%, SAR 34.37 ,8%,428.53,0.04646115791193155,Well prediction
5/14/2024,White Space,B2B,FP-FMN-01203,S00472,WAYAKIT GreenTech Facilities Management Heavy-duty toilet and urinal cleaner [Box of 12 units 700 mL],"Toilet, shower and tile cleaner",Facilities management,Facilities management,8.4, SAR 72.32 , SAR 137.63 , SAR 0.016 ,Price based on direct competition - Price viable with 90.3% profit margin,1,4.0,547.8," SAR 2,191.20 ", SAR 475.48 ,87%, SAR 65.21 , 33.6 ," SAR 1,901.90 ", SAR 410.17 ,298%,Wrong prediction,Yes,Yes,5/14/2024,4.0, SAR 547.80 ," SAR 2,191.20 ", SAR 475.48 ,87%, SAR 410.17 ,298%,454.69,0.20477688095185723,Well prediction
5/14/2024,White Space,B2B,FP-FMN-02901,S00472,WAYAKIT GreenTech Facilities Management Fabric refresher [4 L],Fabric refresher,Facilities management,Facilities management,4.0, SAR 36.72 , SAR 837.41 , SAR 0.209 ,Estimated price based on subindustry difference - products of Facilities management are 143.9% more expensive than Home. Price viable with 2180.5% profit margin,2,1.0,198.25, SAR 198.25 , SAR 161.53 ,81%, SAR 49.56 , 4.0 , SAR 161.53 , SAR (639.16),-76%,Wrong prediction,Yes,Yes,5/14/2024,1.0, SAR 198.25 , SAR 198.25 , SAR 161.53 ,81%, SAR (639.16),-76%,130.02,0.5247654207045068,Wrong prediction
5/14/2024,White Space,B2B,FP-FMN-01601,S00472,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [4 L],Glass cleaner,Facilities management,Facilities management,4.0, SAR 16.68 , SAR 68.80 , SAR 0.017 ,Price based on direct competition - Price viable with 312.5% profit margin,1,5.0,56.0, SAR 280.00 , SAR 39.32 ,70%, SAR 14.00 , 20.0 , SAR 196.60 , SAR (12.80),-19%,Wrong prediction,Yes,Yes,5/14/2024,5.0, SAR 56.00 , SAR 280.00 , SAR 39.32 ,70%, SAR (12.80),-19%,55.65,0.006289308176100654,Well prediction
5/14/2024,White Space,B2B,FP-FMN-01201,S00472,WAYAKIT GreenTech Facilities Management Heavy-duty toilet and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Facilities management,Facilities management,4.0, SAR 23.08 , SAR 65.54 , SAR 0.016 ,Price based on direct competition - Price viable with 184.0% profit margin,1,1.0,274.83, SAR 274.83 , SAR 251.75 ,92%, SAR 68.71 , 4.0 , SAR 251.75 , SAR 209.29 ,319%,Wrong prediction,Yes,Yes,5/14/2024,1.0, SAR 274.83 , SAR 274.83 , SAR 251.75 ,92%, SAR 209.29 ,319%,249.13,0.10315899329667237,Well prediction
4/22/2024,White Space,B2B,FP-FMN-02100,S00465,WAYAKIT GreenTech Facilities Management Air freshener [700 mL],Air freshener,Facilities management,Facilities management,0.7, SAR 5.42 , SAR 25.67 , SAR 0.037 ,Price based on direct competition - Price viable with 373.7% profit margin,1,5.0,36.52, SAR 182.60 , SAR 31.10 ,85%, SAR 52.17 , 3.5 , SAR 155.51 , SAR 10.85 ,42%,Well prediction,Yes,Yes,4/22/2024,5.0, SAR 36.52 , SAR 182.60 , SAR 31.10 ,85%, SAR 10.85 ,42%,36.37,0.0041242782513061784,Well prediction
4/22/2024,White Space,B2B,FP-FMN-02100,S00464,WAYAKIT GreenTech Facilities Management Air freshener [700 mL],Air freshener,Facilities management,Facilities management,0.7, SAR 5.42 , SAR 25.67 , SAR 0.037 ,Price based on direct competition - Price viable with 373.7% profit margin,1,13.0,36.52, SAR 474.76 , SAR 31.10 ,85%, SAR 52.17 , 9.1 , SAR 404.33 , SAR 10.85 ,42%,Well prediction,Yes,Yes,4/22/2024,13.0, SAR 36.52 , SAR 474.76 , SAR 31.10 ,85%, SAR 10.85 ,42%,36.37,0.0041242782513061784,Well prediction
4/22/2024,White Space,B2B,FP-FMN-02100,S00463,WAYAKIT GreenTech Facilities Management Air freshener [700 mL],Air freshener,Facilities management,Facilities management,0.7, SAR 5.42 , SAR 25.67 , SAR 0.037 ,Price based on direct competition - Price viable with 373.7% profit margin,1,16.0,36.52, SAR 584.32 , SAR 31.10 ,85%, SAR 52.17 , 11.2 , SAR 497.63 , SAR 10.85 ,42%,Well prediction,Yes,Yes,4/22/2024,16.0, SAR 36.52 , SAR 584.32 , SAR 31.10 ,85%, SAR 10.85 ,42%,36.37,0.0041242782513061784,Well prediction
4/20/2024,White Space,B2B,FP-FMN-00200,S00460,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [700 mL],Furniture polish,Facilities management,Facilities management,0.7, SAR 11.49 , SAR 24.19 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,5.0,9.0, SAR 45.00 , SAR (2.49),-28%, SAR 12.86 , 3.5 , SAR (12.45), SAR (15.19),-63%,Wrong prediction,Yes,Yes,4/20/2024,5.0, SAR 9.00 , SAR 45.00 , SAR (2.49),-28%, SAR (15.19),-63%,9.86,-0.08722109533468554,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01601,S00460,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [4 L],Glass cleaner,Facilities management,Facilities management,4.0, SAR 16.68 , SAR 68.80 , SAR 0.017 ,Price based on direct competition - Price viable with 312.5% profit margin,1,1.0,56.0, SAR 56.00 , SAR 39.32 ,70%, SAR 14.00 , 4.0 , SAR 39.32 , SAR (12.80),-19%,Wrong prediction,Yes,Yes,4/20/2024,1.0, SAR 56.00 , SAR 56.00 , SAR 39.32 ,70%, SAR (12.80),-19%,55.65,0.006289308176100654,Well prediction
4/20/2024,White Space,B2B,FP-FMN-01000,S00460,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [700 mL],Disinfectant and cleaner,Facilities management,Facilities management,0.7, SAR 4.64 , SAR 9.66 , SAR 0.014 ,Price based on direct competition - Price viable with 108.1% profit margin,1,11.0,12.17, SAR 133.87 , SAR 7.53 ,62%, SAR 17.39 , 7.7 , SAR 82.82 , SAR 2.51 ,26%,Well prediction,Yes,Yes,4/20/2024,11.0, SAR 12.17 , SAR 133.87 , SAR 7.53 ,62%, SAR 2.51 ,26%,15.67,-0.22335673261008296,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01001,S00460,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,3.0,43.47, SAR 130.41 , SAR 28.31 ,65%, SAR 10.87 , 12.0 , SAR 84.93 , SAR (11.73),-21%,Wrong prediction,Yes,Yes,4/20/204,3.0, SAR 43.47 , SAR 130.41 , SAR 28.31 ,65%, SAR (11.73),-21%,57.42,-0.2429467084639499,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-00200,S00459,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [700 mL],Furniture polish,Facilities management,Facilities management,0.7, SAR 11.49 , SAR 24.19 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,15.0,9.0, SAR 135.00 , SAR (2.49),-28%, SAR 12.86 , 10.5 , SAR (37.34), SAR (15.19),-63%,Wrong prediction,Yes,Yes,4/20/2024,15.0, SAR 9.00 , SAR 135.00 , SAR (2.49),-28%, SAR (15.19),-63%,9.86,-0.08722109533468554,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01600,S00459,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [700 mL],Glass cleaner,Facilities management,Facilities management,0.7, SAR 4.91 , SAR 12.04 , SAR 0.017 ,Price based on direct competition - Price viable with 145.4% profit margin,1,9.0,9.8, SAR 88.20 , SAR 4.89 ,50%, SAR 14.00 , 6.3 , SAR 44.04 , SAR (2.24),-19%,Wrong prediction,Yes,Yes,4/20/2024,9.0, SAR 9.80 , SAR 88.20 , SAR 4.89 ,50%, SAR (2.24),-19%,9.87,-0.0070921985815601335,Well prediction
4/20/2024,White Space,B2B,FP-FMN-01000,S00459,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [700 mL],Disinfectant and cleaner,Facilities management,Facilities management,0.7, SAR 4.64 , SAR 9.66 , SAR 0.014 ,Price based on direct competition - Price viable with 108.1% profit margin,1,9.0,12.17, SAR 109.53 , SAR 7.53 ,62%, SAR 17.39 , 6.3 , SAR 67.76 , SAR 2.51 ,26%,Well prediction,Yes,Yes,4/20/2024,9.0, SAR 12.17 , SAR 109.53 , SAR 7.53 ,62%, SAR 2.51 ,26%,15.67,-0.22335673261008296,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01001,S00459,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,12.0,43.47, SAR 521.64 , SAR 28.31 ,65%, SAR 10.87 , 48.0 , SAR 339.72 , SAR (11.73),-21%,Wrong prediction,Yes,Yes,4/20/2024,12.0, SAR 43.47 , SAR 521.64 , SAR 28.31 ,65%, SAR (11.73),-21%,57.42,-0.2429467084639499,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-00200,S00458,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [700 mL],Furniture polish,Facilities management,Facilities management,0.7, SAR 11.49 , SAR 24.19 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,25.0,9.0, SAR 225.00 , SAR (2.49),-28%, SAR 12.86 , 17.5 , SAR (62.24), SAR (15.19),-63%,Wrong prediction,Yes,Yes,4/20/2024,25.0, SAR 9.00 , SAR 225.00 , SAR (2.49),-28%, SAR (15.19),-63%,9.86,-0.08722109533468554,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-00201,S00458,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [4 L],Furniture polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 138.23 , SAR 0.035 ,Price based on direct competition - Price viable with 154.6% profit margin,1,4.0,51.43, SAR 205.72 , SAR (2.86),-6%, SAR 12.86 , 16.0 , SAR (11.46), SAR (86.80),-63%,Wrong prediction,Yes,Yes,4/20/2024,4.0, SAR 51.43 , SAR 205.72 , SAR (2.86),-6%, SAR (86.80),-63%,50.46,0.01922314704716605,Well prediction
4/20/2024,White Space,B2B,FP-FMN-01600,S00458,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [700 mL],Glass cleaner,Facilities management,Facilities management,0.7, SAR 4.91 , SAR 12.04 , SAR 0.017 ,Price based on direct competition - Price viable with 145.4% profit margin,1,18.0,9.8, SAR 176.40 , SAR 4.89 ,50%, SAR 14.00 , 12.6 , SAR 88.07 , SAR (2.24),-19%,Wrong prediction,Yes,Yes,4/20/2024,18.0, SAR 9.80 , SAR 176.40 , SAR 4.89 ,50%, SAR (2.24),-19%,9.87,-0.0070921985815601335,Well prediction
4/20/2024,White Space,B2B,FP-FMN-01601,S00458,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [4 L],Glass cleaner,Facilities management,Facilities management,4.0, SAR 16.68 , SAR 68.80 , SAR 0.017 ,Price based on direct competition - Price viable with 312.5% profit margin,1,12.0,56.0, SAR 672.00 , SAR 39.32 ,70%, SAR 14.00 , 48.0 , SAR 471.84 , SAR (12.80),-19%,Wrong prediction,Yes,Yes,4/20/2024,12.0, SAR 56.00 , SAR 672.00 , SAR 39.32 ,70%, SAR (12.80),-19%,55.65,0.006289308176100654,Well prediction
4/20/2024,White Space,B2B,FP-FMN-01000,S00458,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [700 mL],Disinfectant and cleaner,Facilities management,Facilities management,0.7, SAR 4.64 , SAR 9.66 , SAR 0.014 ,Price based on direct competition - Price viable with 108.1% profit margin,1,40.0,12.17, SAR 486.80 , SAR 7.53 ,62%, SAR 17.39 , 28.0 , SAR 301.16 , SAR 2.51 ,26%,Well prediction,Yes,Yes,4/20/2024,40.0, SAR 12.17 , SAR 486.80 , SAR 7.53 ,62%, SAR 2.51 ,26%,15.67,-0.22335673261008296,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01001,S00458,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,13.0,43.37, SAR 563.81 , SAR 28.21 ,65%, SAR 10.84 , 52.0 , SAR 366.73 , SAR (11.83),-21%,Wrong prediction,Yes,Yes,4/20/2024,13.0, SAR 43.47 , SAR 565.11 , SAR 28.31 ,65%, SAR (11.73),-21%,57.42,-0.2446882619296413,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-00401,S00458,WAYAKIT GreenTech Facilities Management Hard floor polish [4 L],Floor polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 328.04 , SAR 0.082 ,"Price based on median generic product type - B2B: 0.0820 SAR/ml = 328.04 SAR, B2C: 0.1152 SAR/ml = 460.72 SAR. Price viable with 504.2% profit margin",3,14.0,88.57," SAR 1,239.98 ", SAR 34.28 ,39%, SAR 22.14 , 56.0 , SAR 479.86 , SAR (239.47),-73%,Wrong prediction,Yes,Yes,4/20/2024,14.0, SAR 88.57 ," SAR 1,239.98 ", SAR 34.28 ,39%, SAR (239.47),-73%,100.01,-0.11438856114388572,Wrong prediction
4/20/2024,White Space,B2B,FP-FMN-01701,S00458,WAYAKIT GreenTech Facilities Management Degreaser for food service areas [4 L],Degreaser,Facilities management,Facilities management,4.0, SAR 13.97 , SAR 184.00 , SAR 0.046 ,Price based on direct competition - Price viable with 1217.1% profit margin,1,2.0,88.57, SAR 177.14 , SAR 74.60 ,84%, SAR 22.14 , 8.0 , SAR 149.20 , SAR (95.43),-52%,Wrong prediction,Yes,Yes,4/20/2024,2.0, SAR 88.57 , SAR 177.14 , SAR 74.60 ,84%, SAR (95.43),-52%,88.64,-0.0007897111913358234,Well prediction
4/20/2024,White Space,B2B,FP-FMN-00601,S00458,WAYAKIT GreenTech Facilities Management High performance carpet shampoo [4 L],Carpet shampoo,Facilities management,Facilities management,4.0, SAR 37.63 , SAR 133.68 , SAR 0.033 ,Price based on direct competition - Price viable with 255.2% profit margin,1,6.0,63.13, SAR 378.78 , SAR 25.50 ,40%, SAR 15.78 , 24.0 , SAR 152.99 , SAR (70.55),-53%,Wrong prediction,Yes,Yes,4/20/2024,6.0, SAR 63.13 , SAR 378.78 , SAR 25.50 ,40%, SAR (70.55),-53%,63.14,-0.00015837820715866344,Well prediction
3/18/2024,White Space,B2B,FP-FMN-00601,S00446,WAYAKIT GreenTech Facilities Management High performance carpet shampoo [4 L],Carpet shampoo,Facilities management,Facilities management,4.0, SAR 37.63 , SAR 133.68 , SAR 0.033 ,Price based on direct competition - Price viable with 255.2% profit margin,1,1.0,63.13, SAR 63.13 , SAR 25.50 ,40%, SAR 15.78 , 4.0 , SAR 25.50 , SAR (70.55),-53%,Wrong prediction,Yes,Yes,3/18/2024,1.0, SAR 63.13 , SAR 63.13 , SAR 25.50 ,40%, SAR (70.55),-53%,63.14,-0.00015837820715866344,Well prediction
3/16/2024,White Space,B2B,FP-FMN-00201,S00445,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [4 L],Furniture polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 138.23 , SAR 0.035 ,Price based on direct competition - Price viable with 154.6% profit margin,1,3.0,51.43, SAR 154.29 , SAR (2.86),-6%, SAR 12.86 , 12.0 , SAR (8.59), SAR (86.80),-63%,Wrong prediction,Yes,Yes,3/16/2024,3.0, SAR 51.43 , SAR 154.29 , SAR (2.86),-6%, SAR (86.80),-63%,50.46,0.01922314704716605,Well prediction
3/16/2024,White Space,B2B,FP-FMN-00401,S00445,WAYAKIT GreenTech Facilities Management Hard floor polish [4 L],Floor polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 328.04 , SAR 0.082 ,"Price based on median generic product type - B2B: 0.0820 SAR/ml = 328.04 SAR, B2C: 0.1152 SAR/ml = 460.72 SAR. Price viable with 504.2% profit margin",3,1.0,125.71, SAR 125.71 , SAR 71.42 ,57%, SAR 31.43 , 4.0 , SAR 71.42 , SAR (202.33),-62%,Wrong prediction,Yes,Yes,3/16/2024,1.0, SAR 125.71 , SAR 125.71 , SAR 71.42 ,57%, SAR (202.33),-62%,100.01,0.2569743025697429,Well prediction
3/16/2024,White Space,B2B,FP-FMN-01701,S00445,WAYAKIT GreenTech Facilities Management Degreaser for food service areas [4 L],Degreaser,Facilities management,Facilities management,4.0, SAR 13.97 , SAR 184.00 , SAR 0.046 ,Price based on direct competition - Price viable with 1217.1% profit margin,1,1.0,88.57, SAR 88.57 , SAR 74.60 ,84%, SAR 22.14 , 4.0 , SAR 74.60 , SAR (95.43),-52%,Wrong prediction,Yes,Yes,3/16/2024,1.0, SAR 88.57 , SAR 88.57 , SAR 74.60 ,84%, SAR (95.43),-52%,88.64,-0.0007897111913358234,Well prediction
3/5/2024,White Space,B2B,FP-FMN-01700,S00442,WAYAKIT GreenTech Facilities Management Degreaser for food service areas [700 mL],Degreaser,Facilities management,Facilities management,0.7, SAR 4.43 , SAR 32.20 , SAR 0.046 ,Price based on direct competition - Price viable with 626.4% profit margin,1,10.0,18.6, SAR 186.00 , SAR 14.17 ,76%, SAR 26.57 , 7.0 , SAR 141.67 , SAR (13.60),-42%,Wrong prediction,Yes,Yes,3/5/2024,10.0, SAR 18.60 , SAR 186.00 , SAR 14.17 ,76%, SAR (13.60),-42%,16.56,0.12318840579710162,Well prediction
3/5/2024,White Space,B2B,FP-FMN-00401,S00442,WAYAKIT GreenTech Facilities Management Hard floor polish [4 L],Floor polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 328.04 , SAR 0.082 ,"Price based on median generic product type - B2B: 0.0820 SAR/ml = 328.04 SAR, B2C: 0.1152 SAR/ml = 460.72 SAR. Price viable with 504.2% profit margin",3,1.0,125.71, SAR 125.71 , SAR 71.42 ,57%, SAR 31.43 , 4.0 , SAR 71.42 , SAR (202.33),-62%,Wrong prediction,Yes,Yes,3/5/2024,1.0, SAR 125.71 , SAR 125.71 , SAR 71.42 ,57%, SAR (202.33),-62%,100.01,0.2569743025697429,Well prediction
3/5/2024,White Space,B2B,FP-FMN-01601,S00442,WAYAKIT GreenTech Facilities Management Streak-free glass cleaner for large window areas [4 L],Glass cleaner,Facilities management,Facilities management,4.0, SAR 16.68 , SAR 68.80 , SAR 0.017 ,Price based on direct competition - Price viable with 312.5% profit margin,1,1.0,60.0, SAR 60.00 , SAR 43.32 ,72%, SAR 15.00 , 4.0 , SAR 43.32 , SAR (8.80),-13%,Wrong prediction,Yes,Yes,3/5/2024,1.0, SAR 60.00 , SAR 60.00 , SAR 43.32 ,72%, SAR (8.80),-13%,55.65,0.07816711590296499,Well prediction
2/18/2024,White Space,B2B,FP-FMN-01000,S00435,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [700 mL],Disinfectant and cleaner,Facilities management,Facilities management,0.7, SAR 4.64 , SAR 9.66 , SAR 0.014 ,Price based on direct competition - Price viable with 108.1% profit margin,1,8.0,13.69, SAR 109.52 , SAR 9.05 ,66%, SAR 19.56 , 5.6 , SAR 72.39 , SAR 4.03 ,42%,Well prediction,Yes,Yes,2/18/2024,8.0, SAR 13.69 , SAR 109.52 , SAR 9.05 ,66%, SAR 4.03 ,42%,15.67,-0.12635609444798981,Wrong prediction
2/18/2024,White Space,B2B,FP-FMN-00200,S00435,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [700 mL],Furniture polish,Facilities management,Facilities management,0.7, SAR 11.49 , SAR 24.19 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,4.0,14.4, SAR 57.60 , SAR 2.91 ,20%, SAR 20.57 , 2.8 , SAR 11.64 , SAR (9.79),-40%,Wrong prediction,Yes,Yes,2/18/2024,4.0, SAR 14.40 , SAR 57.60 , SAR 2.91 ,20%, SAR (9.79),-40%,9.86,0.4604462474645032,Well prediction
1/25/2024,White Space,B2B,FP-FMN-00701,S00424,WAYAKIT GreenTech Facilities Management Stain spot remover [4 L],Stain remover,Facilities management,Facilities management,4.0, SAR 58.48 , SAR 248.40 , SAR 0.062 ,"Price based on median generic product type - B2B: 0.0621 SAR/ml = 248.40 SAR, B2C: 0.0854 SAR/ml = 341.67 SAR. Price viable with 324.8% profit margin",3,1.0,101.01, SAR 101.01 , SAR 42.53 ,42%, SAR 25.25 , 4.0 , SAR 42.53 , SAR (147.39),-59%,Wrong prediction,Yes,Yes,1/25/2024,1.0, SAR 101.01 , SAR 101.01 , SAR 42.53 ,42%, SAR (147.39),-59%,77.43,0.30453312669507937,Well prediction
